retention_time,integral,start,end,is_retention_time,is_integral,time
7.8134999999999994,7375.79066753462,7.773625,7.8882916666666665,6.720083333333333,2916.542150534775,10.0
7.999625,1775.619826332935,7.974708333333333,8.047833333333333,6.720083333333333,2916.542150534775,10.0
8.096,2056.2098564778257,8.062791666666666,8.2605,6.720083333333333,2916.542150534775,10.0
10.395833333333332,2438.641184408254,10.349291666666666,10.447333333333331,6.720083333333333,2916.542150534775,10.0
10.681625,8939.897194873003,10.630125,10.744791666666666,6.720083333333333,2916.542150534775,10.0
10.851125,1435.2044124421163,10.809583333333332,10.959166666666667,6.720083333333333,2916.542150534775,10.0
13.254,8720.185068835517,13.185875,13.307166666666665,6.720083333333333,2916.542150534775,10.0
13.573041666666667,7182.757189719099,13.504916666666666,13.631208333333332,6.720083333333333,2916.542150534775,10.0
7.658791666666667,899.1771046112947,7.633875,7.73525,6.721583333333333,2936.974557136471,20.0
7.8149999999999995,7512.061467707409,7.776791666666666,7.876500000000001,6.721583333333333,2936.974557136471,20.0
8.002791666666667,1880.487634600246,7.976208333333333,8.067583333333333,6.721583333333333,2936.974557136471,20.0
8.0975,2166.473659556703,8.067583333333333,8.168958333333332,6.721583333333333,2936.974557136471,20.0
10.397333333333332,2639.774089182789,10.352458333333333,10.488708333333333,6.721583333333333,2936.974557136471,20.0
10.688124999999998,9430.244891548868,10.631625000000001,10.741291666666667,6.721583333333333,2936.974557136471,20.0
10.854291666666667,1416.328100321955,10.81275,10.980583333333334,6.721583333333333,2936.974557136471,20.0
13.260458333333332,9115.497118486841,13.189,13.312,6.721583333333333,2936.974557136471,20.0
13.5795,7887.168723986687,13.508083333333333,13.66425,6.721583333333333,2936.974557136471,20.0
7.8165,7402.015557730219,7.776625,7.843083333333333,6.723083333333333,2952.2099888717817,30.0
8.002625,1637.9072828305332,7.976,8.06575,6.723083333333333,2952.2099888717817,30.0
8.099,1927.4986771183987,8.06575,8.170458333333332,6.723083333333333,2952.2099888717817,30.0
10.397124999999999,2469.14887578814,10.352291666666666,10.452,6.723083333333333,2952.2099888717817,30.0
10.684625,8953.973987352038,10.631458333333333,10.722833333333332,6.723083333333333,2952.2099888717817,30.0
10.852458333333333,1441.4942310745437,10.810916666666666,10.894,6.723083333333333,2952.2099888717817,30.0
13.258625,9342.694500272119,13.187166666666666,13.311791666666666,6.723083333333333,2952.2099888717817,30.0
13.575999999999999,7690.051387447227,13.507875,13.647458333333333,6.723083333333333,2952.2099888717817,30.0
