retention_time,integral,height,start,end,is_retention_time,is_integral,deconvoluted,time
7.8134999999999994,7375.79066753462,315311.1887503802,7.773625,7.8882916666666665,6.720083333333333,2919.6210009250553,False,10.0
7.999625,1775.619826332935,93307.02740787064,7.974708333333333,8.047833333333333,6.720083333333333,2919.6210009250553,False,10.0
8.096,2056.2098564778257,105636.424116883,8.062791666666666,8.2605,6.720083333333333,2919.6210009250553,False,10.0
10.395833333333332,2438.641184408254,85395.67928708144,10.349291666666666,10.447333333333331,6.720083333333333,2919.6210009250553,False,10.0
10.681625,8939.897194873003,232477.0715056465,10.630125,10.744791666666666,6.720083333333333,2919.6210009250553,False,10.0
10.851125,1435.2044124421163,49171.6793923239,10.809583333333332,10.959166666666667,6.720083333333333,2919.6210009250553,False,10.0
13.254,8720.185068835517,176401.15646492835,13.185875,13.307166666666665,6.720083333333333,2919.6210009250553,False,10.0
13.573041666666667,7182.757189719099,159928.6750713707,13.504916666666666,13.631208333333332,6.720083333333333,2919.6210009250553,False,10.0
7.658791666666667,899.1771046112947,51168.91164314403,7.633875,7.73525,6.719916666666666,2936.974557136471,False,20.0
7.8149999999999995,7512.061467707409,324560.3998772899,7.776791666666666,7.876500000000001,6.719916666666666,2936.974557136471,False,20.0
8.002791666666667,1880.487634600246,94208.01487003676,7.976208333333333,8.067583333333333,6.719916666666666,2936.974557136471,False,20.0
8.0975,2166.473659556703,113535.26146482117,8.067583333333333,8.168958333333332,6.719916666666666,2936.974557136471,False,20.0
10.397333333333332,2639.774089182789,88378.87480650282,10.352458333333333,10.488708333333333,6.719916666666666,2936.974557136471,False,20.0
10.688124999999998,9430.244891548868,239969.89921431715,10.631625000000001,10.741291666666667,6.719916666666666,2936.974557136471,False,20.0
10.854291666666667,1416.328100321955,49328.20871951495,10.81275,10.980583333333334,6.719916666666666,2936.974557136471,False,20.0
13.260458333333332,9115.497118486841,186213.9079276432,13.189,13.312,6.719916666666666,2936.974557136471,False,20.0
13.5795,7887.168723986687,169741.99621426692,13.508083333333333,13.66425,6.719916666666666,2936.974557136471,False,20.0
7.8165,7402.015557730219,313415.21342674794,7.776625,7.843083333333333,6.721416666666666,2954.0267522153126,False,30.0
8.002625,1637.9072828305332,82732.64630683298,7.976,8.06575,6.721416666666666,2954.0267522153126,False,30.0
8.099,1927.4986771183987,99566.34370170283,8.06575,8.170458333333332,6.721416666666666,2954.0267522153126,False,30.0
10.397124999999999,2469.14887578814,83281.24178467349,10.352291666666666,10.452,6.721416666666666,2954.0267522153126,False,30.0
10.684625,8953.973987352038,233069.69195975142,10.631458333333333,10.722833333333332,6.721416666666666,2954.0267522153126,False,30.0
10.852458333333333,1441.4942310745437,51088.5897725124,10.810916666666666,10.894,6.721416666666666,2954.0267522153126,False,30.0
13.258625,9342.694500272119,181583.95964394507,13.187166666666666,13.311791666666666,6.721416666666666,2954.0267522153126,False,30.0
13.575999999999999,7690.051387447227,160343.16825096688,13.507875,13.647458333333333,6.721416666666666,2954.0267522153126,False,30.0
